trade_date,symbol,name,period,period_label,close,ma20,ma30,dev20_pct,dev30_pct,source
20210820,000001.SH,上证综指,week,周K,3427.334,3502.0462999999995,3504.770366666666,-2.1333898412479457,-2.209456214397143,公开指数日线计算（周K最后实际交易日）
20210827,000001.SH,上证综指,week,周K,3522.157,3505.6203,3506.0733000000005,0.47171965543444383,0.45873826996143396,公开指数日线计算（周K最后实际交易日）
20210831,000001.SH,上证综指,month,月K,3543.94,3267.31085,,8.46656968681141,,公开指数日线计算（月K最后实际交易日）
20210903,000001.SH,上证综指,week,周K,3581.734,3513.3761,3508.92,1.945647094257863,2.075111430297638,公开指数日线计算（周K最后实际交易日）
20210910,000001.SH,上证综指,week,周K,3703.11,3524.8233,3510.5207333333333,5.058032270724033,5.486059798421938,公开指数日线计算（周K最后实际交易日）
20210917,000001.SH,上证综指,week,周K,3613.966,3533.1788,3507.7806666666665,2.2865301920185876,3.0271371965293836,公开指数日线计算（周K最后实际交易日）
20210924,000001.SH,上证综指,week,周K,3613.067,3542.88845,3511.2468999999996,1.9808286653789642,2.899827408889988,公开指数日线计算（周K最后实际交易日）
20210930,000001.SH,上证综指,week,周K,3568.167,3546.778,3513.4528999999998,0.6030543778043018,1.5572743269164135,公开指数日线计算（周K最后实际交易日）
20210930,000001.SH,上证综指,month,月K,3568.167,3296.8928,,8.228177755734123,,公开指数日线计算（月K最后实际交易日）
20211008,000001.SH,上证综指,week,周K,3592.167,3552.0585,3518.0892,1.1291621464004642,2.105625974463643,公开指数日线计算（周K最后实际交易日）
20211015,000001.SH,上证综指,week,周K,3572.366,3550.6376000000005,3523.6793000000002,0.6119576945841976,1.3817006559024847,公开指数日线计算（周K最后实际交易日）
20211022,000001.SH,上证综指,week,周K,3582.604,3550.17555,3529.1552,0.9134322949184925,1.5144927601937086,公开指数日线计算（周K最后实际交易日）
20211029,000001.SH,上证综指,week,周K,3547.336,3548.05495,3531.253333333333,-0.02026321492005767,0.4554379181706869,公开指数日线计算（周K最后实际交易日）
20211029,000001.SH,上证综指,month,月K,3547.336,3330.2443999999996,,6.518788831234135,,公开指数日线计算（月K最后实际交易日）
20211105,000001.SH,上证综指,week,周K,3491.568,3546.3785,3532.6163666666666,-1.5455344092572099,-1.16198201010429,公开指数日线计算（周K最后实际交易日）
20211112,000001.SH,上证综指,week,周K,3539.1,3542.9554,3536.365766666667,-0.1088187562282017,0.07731760552331934,公开指数日线计算（周K最后实际交易日）
20211119,000001.SH,上证综指,week,周K,3560.373,3545.03605,3539.2393333333334,0.43263170765217573,0.5971245422038862,公开指数日线计算（周K最后实际交易日）
20211126,000001.SH,上证综指,week,周K,3564.089,3547.0361,3543.1471,0.4807647714665242,0.5910536426782853,公开指数日线计算（周K最后实际交易日）
20211130,000001.SH,上证综指,month,月K,3563.887,3370.9239500000003,,5.724337091615483,,公开指数日线计算（月K最后实际交易日）
20211203,000001.SH,上证综指,week,周K,3607.432,3550.4425,3549.432366666667,1.6051379511145436,1.6340537680902933,公开指数日线计算（周K最后实际交易日）
20211210,000001.SH,上证综指,week,周K,3666.348,3556.2401,3555.2981,3.096188584117243,3.123504608516514,公开指数日线计算（周K最后实际交易日）
20211217,000001.SH,上证综指,week,周K,3632.364,3567.99045,3560.1583333333333,1.8041962528234867,2.028158859975804,公开指数日线计算（周K最后实际交易日）
20211224,000001.SH,上证综指,week,周K,3618.054,3575.9817500000004,3560.734,1.1765230625128353,1.6097804553780293,公开指数日线计算（周K最后实际交易日）
20211231,000001.SH,上证综指,week,周K,3639.775,3582.1555499999995,3562.3316666666665,1.6085133433136445,2.173950675564096,公开指数日线计算（周K最后实际交易日）
20211231,000001.SH,上证综指,month,月K,3639.775,3409.9086,,6.741130832656328,,公开指数日线计算（月K最后实际交易日）
20220107,000001.SH,上证综指,week,周K,3579.543,3589.7660000000005,3561.9914999999996,-0.28478179357652733,0.49274401693548686,公开指数日线计算（周K最后实际交易日）
20220114,000001.SH,上证综指,week,周K,3521.256,3589.72095,3561.8634666666667,-1.907249921473697,-1.140062415269072,公开指数日线计算（周K最后实际交易日）
20220121,000001.SH,上证综指,week,周K,3522.568,3586.7626499999997,3559.030333333333,-1.789765765515583,-1.0245018985039933,公开指数日线计算（周K最后实际交易日）
20220128,000001.SH,上证综指,week,周K,3361.44,3569.67915,3553.786333333333,-5.833553696275473,-5.4124338182402365,公开指数日线计算（周K最后实际交易日）
20220128,000001.SH,上证综指,month,月K,3361.44,3435.36305,,-2.1518264277774035,,公开指数日线计算（月K最后实际交易日）
20220211,000001.SH,上证综指,week,周K,3462.948,3562.12825,3551.7483333333334,-2.784297561436766,-2.5001865278555413,公开指数日线计算（周K最后实际交易日）
20220218,000001.SH,上证综指,week,周K,3490.757,3556.0127500000003,3550.1301000000003,-1.8350820030102577,-1.67242039946649,公开指数日线计算（周K最后实际交易日）
20220225,000001.SH,上证综指,week,周K,3451.406,3550.1747000000005,3546.8304333333335,-2.7820799917254946,-2.6904143044597983,公开指数日线计算（周K最后实际交易日）
20220228,000001.SH,上证综指,month,月K,3462.306,3459.2446499999996,,0.08849764355349787,,公开指数日线计算（月K最后实际交易日）
20220304,000001.SH,上证综指,week,周K,3447.649,3542.9487999999997,3548.506833333333,-2.689844120806928,-2.8422612121220325,公开指数日线计算（周K最后实际交易日）
